Query ID,Winner,BM25_nDCG@10,Dense_nDCG@10,Hybrid_RRF_nDCG@10,Hybrid_Rerank_nDCG@10
test_query42,Dense,0.933745776545611,1.0,0.9363792118010483,0.9363792118010483
test_query43,Dense,0.22009176629808017,1.0,0.28952298823485745,0.33013764944712026
test_query44,BM25,1.0,0.8701249883466593,0.9363792118010483,0.933745776545611
test_query45,BM25,1.0,0.8364586133797037,0.8572048559638628,1.0
test_query46,BM25,1.0,1.0,1.0,1.0
test_query47,Hybrid (RRF),0.6901935063354876,0.5107164012496701,0.7059054020403313,0.6285108926059098
test_query48,Hybrid + Rerank,0.5867945846769145,0.7849818707050383,0.8611375561264454,0.9363792118010483
test_query49,BM25,1.0,0.7183627972686238,0.9305687780632227,0.8701249883466593
test_query50,Dense,0.09478836436955078,0.9305687780632227,0.7573821447149967,0.8415908474314976
test_query51,Hybrid (RRF),0.857980942822373,0.8512360941594274,0.933745776545611,0.8701249883466593
test_query52,BM25,1.0,0.9363792118010483,1.0,0.933745776545611
test_query53,BM25,0.914856882358379,0.3589542101716347,0.5224955967919311,0.3843113526044082
test_query54,BM25,1.0,1.0,1.0,1.0
test_query55,BM25,1.0,0.8701249883466593,0.933745776545611,0.8521705090845474
test_query56,Hybrid (RRF),0.5481351590340573,0.40160493302575007,0.5747915663739762,0.24966402870278917
test_query57,Hybrid + Rerank,0.4263100803427562,0.6235540477207574,0.6032621820619528,0.6496872770120411
test_query58,Dense,0.37185395737611554,0.933745776545611,0.8701249883466593,0.8482378089219645
test_query59,BM25,0.9305687780632227,0.762416491594312,0.7827392871477702,0.835780413693672
test_query60,Hybrid (RRF),0.7065632165480471,0.7967610662472993,0.8603818544462509,0.772837825180752
test_query61,BM25,0.9363792118010483,0.8603818544462509,0.9266360779006401,0.933745776545611
test_query62,Dense,0.13886244387355454,1.0,0.3557772116892465,0.2940945979596688
test_query63,BM25,1.0,0.8553475075669357,1.0,1.0
test_query64,Dense,0.933745776545611,1.0,1.0,1.0
test_query65,BM25,1.0,1.0,1.0,0.9266360779006401
test_query66,Hybrid + Rerank,0.9052116356304493,0.7100226348397882,0.9266360779006401,0.9363792118010483
test_query67,BM25,0.5431008121547419,0.40160493302575007,0.40160493302575007,0.5252098581198152
test_query68,Dense,0.933745776545611,1.0,1.0,0.8611375561264454
test_query69,BM25,0.7510916729774053,0.2863459897524692,0.5033242827953464,0.4576752747037683
test_query70,Hybrid (RRF),0.2520649403266671,0.22784037450527975,0.46111430781719354,0.25469837558210445
test_query71,BM25,1.0,0.7917267193679839,1.0,0.9305687780632227
test_query72,Dense,0.5637884576902256,0.835780413693672,0.6785038377365556,0.6489315753318465
test_query73,BM25,0.5868924718493931,0.0,0.5513310624619329,0.4721567066247473
test_query74,Dense,0.6028078051365983,0.6267310462031457,0.5264282969545138,0.5483327772244702
test_query75,Hybrid (RRF),0.5423640154200349,0.7967610662472993,0.866947989864271,0.8643145546088337
test_query76,Dense,0.642186726668901,0.8630152897016883,0.6371523797895856,0.7720617383222417
test_query77,BM25,1.0,1.0,1.0,1.0
test_query78,BM25,1.0,1.0,1.0,1.0
test_query79,BM25,1.0,1.0,1.0,1.0
test_query80,Hybrid (RRF),0.857980942822373,0.9216017310213247,1.0,0.7975167679274937
test_query81,Hybrid + Rerank,0.8643145546088337,0.7877736340270854,0.835780413693672,0.9216017310213247
test_query82,Dense,0.5509662124799075,0.6313419460517601,0.6185197008414421,0.48068140169045714
test_query83,BM25,0.7600791051976192,0.40002324830925196,0.6203974344166848,0.6994739030813919
test_query84,Dense,0.606241562353928,0.6214990811334173,0.606241562353928,0.39673781793804724
test_query85,BM25,0.914856882358379,0.5352543167750639,0.6722390270733757,0.6110191504983019
test_query86,BM25,1.0,1.0,1.0,1.0
test_query87,Hybrid + Rerank,0.2874476364692017,0.45184593602045525,0.32458397444423615,0.45841207143847534
test_query88,Hybrid (RRF),0.40350157154648025,0.5894280199323518,0.6025064803817581,0.49435723575344825
test_query89,BM25,0.6947651160602989,0.6004311286161025,0.6698623505528798,0.6410457898283652
test_query90,BM25,0.5100691314582919,0.22009176629808017,0.4447551423209717,0.42520843362602373
test_query91,BM25,0.9363792118010483,0.9305687780632227,0.933745776545611,0.933745776545611
test_query92,Hybrid + Rerank,0.8364586133797037,0.5428183923453893,0.9052116356304493,1.0
test_query93,Dense,0.13886244387355454,0.7917267193679839,0.6911279212606076,0.7720617383222417
test_query94,Hybrid (RRF),0.7827392871477702,0.9363792118010483,1.0,1.0
test_query95,BM25,0.5676818677290053,0.39092738420022166,0.4393885407921626,0.45184593602045525
test_query96,BM25,0.8263333286520083,0.8236998933965709,0.8200685179888283,0.7479350596733328
test_query97,Hybrid + Rerank,0.762416491594312,0.6313419460517601,0.7573821447149967,0.8236998933965709
test_query98,Hybrid + Rerank,0.4124497136428909,0.9363792118010483,0.933745776545611,1.0
test_query99,BM25,1.0,0.78180487222265,1.0,1.0
test_query100,Dense,0.32149616226344435,0.44510108735750953,0.43808927588501717,0.43042149375026456
