Query ID,Winner,BM25_nDCG@10,Dense_nDCG@10,Hybrid_RRF_nDCG@10,Hybrid_Rerank_nDCG@10
test_query223,Hybrid + Rerank,0.716485063693381,0.6578986223737446,0.7133080652109929,0.7479350596733328
test_query224,Hybrid (RRF),0.8482378089219645,0.7819835854675755,0.9363792118010483,0.9363792118010483
test_query225,BM25,0.7948833326720564,0.5734923014668308,0.6618313225363274,0.7917063341896681
test_query226,Hybrid + Rerank,0.6520881886359191,0.7791714369672127,0.725452110735279,1.0
test_query227,BM25,1.0,1.0,1.0,1.0
test_query228,Dense,0.22009176629808017,0.5637884576902256,0.5107164012496701,0.5036067026046991
test_query229,Hybrid (RRF),0.627507133061656,0.914856882358379,1.0,0.9305687780632227
test_query230,Dense,0.3190952506395664,0.43545584062957987,0.32542886242602714,0.3783033006761697
test_query231,Dense,0.7630946912803436,1.0,1.0,1.0
test_query232,BM25,1.0,0.8643145546088337,1.0,1.0
test_query233,Hybrid (RRF),0.8454256604216017,0.6968404678259545,0.8521705090845474,0.5716349530699038
test_query234,Dense,0.7670273914429264,0.8701249883466593,0.857980942822373,0.77523873680463
test_query235,BM25,0.7241528458281337,0.5271064966405455,0.40002324830925196,0.5478527392247046
test_query236,Hybrid + Rerank,0.4634464183177906,0.28371255449703187,0.5370079586075637,0.7600791051976192
test_query237,Hybrid (RRF),0.8415908474314976,0.7846170207230129,0.9052116356304493,0.8415908474314976
test_query238,Dense,0.6429424283490954,0.84860265890399,0.7503359712972109,0.7605591431973849
test_query239,Dense,0.22009176629808017,0.576323354912681,0.22009176629808017,0.5231737964779628
test_query240,Hybrid (RRF),0.5033242827953464,0.5033242827953464,0.7116179486056782,0.5328965452000554
test_query241,BM25,1.0,1.0,1.0,1.0
test_query242,BM25,1.0,0.9216017310213247,0.933745776545611,0.8572048559638628
test_query243,BM25,0.6086182388744239,0.4642913062995817,0.5580759111248786,0.4736695902179647
test_query244,Hybrid + Rerank,0.9363792118010483,0.8389574121760602,0.8643145546088337,1.0
test_query245,Hybrid + Rerank,0.1731866333482261,0.31488013066763093,0.568003577662161,0.6180396628416763
test_query246,Dense,0.6325414799409712,0.7967610662472993,0.7967610662472993,0.4576752747037683
test_query247,Hybrid + Rerank,0.6464018466408364,0.7529694065526482,0.8165901947515999,0.8512360941594274
test_query248,Hybrid + Rerank,0.7663491917568946,0.3589542101716347,0.5861163849908828,0.77523873680463
test_query249,BM25,0.5184650094568697,0.5053603444371989,0.44510108735750953,0.5181001594748443
test_query250,Hybrid (RRF),0.7183627972686238,0.9052116356304493,0.9305687780632227,0.914856882358379
